name,wins,losses,draws,height_cm,weight_in_kg,reach_in_cm,stance,significant_strikes_landed_per_minute,significant_striking_accuracy,significant_strikes_absorbed_per_minute,significant_strike_defence,average_takedowns_landed_per_15_minutes,takedown_accuracy,takedown_defense,average_submissions_attempted_per_15_minutes,reach_to_height
Marcus Davis,22,11,0,177.8,77.11,177.8,Southpaw,2.72,39.0,2.79,65.0,1.6,48.0,47.0,1.4,1.0
Chris Fishgold,18,4,1,172.72,65.77,172.72,Orthodox,2.01,32.0,2.7,46.0,2.59,46.0,44.0,1.3,1.0
Mario Bautista,13,2,0,175.26,61.23,175.26,Switch,5.32,51.0,4.2,53.0,2.72,50.0,56.0,1.3,1.0
Travis Galbraith,18,7,0,182.88,77.11,187.28926406926408,Orthodox,2.21,40.0,3.45,48.0,1.33,25.0,0.0,1.3,1.0241101491101492
Kenny Florian,14,6,0,177.8,65.77,187.96,Southpaw,2.41,40.0,1.85,63.0,2.22,33.0,60.0,1.3,1.0571428571428572
Muhammad Mokaev,11,0,0,170.18,56.7,177.8,Orthodox,1.12,51.0,1.19,52.0,6.47,53.0,0.0,1.3,1.0447761194029852
Hunter Azure,9,2,0,172.72,65.77,175.26,Orthodox,3.92,53.0,2.08,58.0,1.97,34.0,67.0,1.3,1.0147058823529411
Papy Abedi,10,4,0,180.34,83.91,184.94287292817683,Southpaw,2.8,55.0,3.15,48.0,3.47,57.0,50.0,1.3,1.0255233055793325
Rodrigo de Lima,8,3,1,170.18,70.31,174.71661691542292,Orthodox,1.29,33.0,5.5,32.0,2.66,36.0,0.0,1.3,1.026657755996139
Daniel Lacerda,11,5,0,167.64,56.7,177.8,Switch,4.16,47.0,8.7,34.0,1.91,42.0,0.0,1.3,1.0606060606060608
TJ Brown,17,11,0,175.26,65.77,182.88,Switch,3.37,44.0,2.89,49.0,3.41,57.0,36.0,1.3,1.0434782608695652
Nate Diaz,22,13,0,182.88,77.11,193.04,Southpaw,4.57,45.0,3.77,52.0,1.05,30.0,41.0,1.3,1.0555555555555556
James Thompson,20,16,0,195.58,120.2,199.644,Orthodox,5.13,52.0,3.19,41.0,3.14,36.0,53.0,1.3,1.0207792207792208
Mark Bocek,12,5,0,172.72,70.31,190.5,Orthodox,2.34,43.0,2.32,60.0,3.65,36.0,31.0,1.3,1.1029411764705883
Liana Jojua,8,5,0,162.56,56.7,157.48,Orthodox,2.42,30.0,5.32,54.0,1.71,66.0,50.0,1.3,0.9687499999999999
Ben Saunders,22,13,2,187.96,77.11,195.58,Orthodox,3.23,50.0,3.58,51.0,0.2,40.0,66.0,1.3,1.0405405405405406
Matthew Lopez,10,4,0,170.18,61.23,175.26,Southpaw,3.13,50.0,3.73,55.0,3.32,60.0,71.0,1.3,1.0298507462686566
Josh Thomson,22,9,0,177.8,70.31,180.34,Orthodox,2.59,47.0,2.12,64.0,1.92,39.0,54.0,1.3,1.0142857142857142
Pablo Garza,12,4,0,185.42,65.77,185.42,Orthodox,3.37,44.0,2.7,50.0,0.94,25.0,15.0,1.3,1.0
Alex Perez,24,7,0,167.64,56.7,165.1,Orthodox,4.67,48.0,3.14,60.0,2.84,44.0,77.0,1.3,0.9848484848484849
Richard Crunkilton,19,4,0,170.18,70.31,174.71661691542292,Orthodox,1.72,41.0,1.45,58.0,4.08,61.0,65.0,1.3,1.026657755996139
Evan Tanner,32,8,0,182.88,83.91,187.96,Orthodox,3.05,59.0,2.64,56.0,2.55,43.0,25.0,1.3,1.027777777777778
Jacare Souza,26,10,0,185.42,83.91,182.88,Orthodox,2.53,47.0,2.83,62.0,2.57,39.0,57.0,1.3,0.9863013698630138
Matt Brown,26,19,0,182.88,77.11,190.5,Orthodox,3.76,55.0,2.92,55.0,1.68,46.0,63.0,1.3,1.0416666666666667
Barb Honchak,10,4,0,162.56,56.7,165.1,Orthodox,4.04,30.0,4.67,66.0,0.0,0.0,0.0,1.3,1.015625
Joel Alvarez,20,3,0,190.5,70.31,195.58,Orthodox,3.65,46.0,3.37,50.0,0.0,0.0,11.0,1.3,1.0266666666666668
Jason Brilz,22,6,1,180.34,92.99,180.34,Orthodox,2.66,40.0,1.78,65.0,2.37,25.0,25.0,1.3,1.0
Noah Thomas,14,7,0,175.26,61.23,180.1527188940092,Orthodox,0.44,13.0,4.99,33.0,0.0,0.0,0.0,1.3,1.0279169171174782
Eduarda Moura,10,0,0,167.64,52.16,167.64,Orthodox,5.61,67.0,0.45,80.0,5.34,100.0,0.0,1.3,1.0
Josh Neer,36,16,1,180.34,77.11,182.88,Orthodox,3.29,46.0,3.63,58.0,1.09,34.0,46.0,1.3,1.0140845070422535
Matt Lindland,22,9,0,182.88,83.91,187.96,Southpaw,2.62,50.0,1.56,52.0,3.01,48.0,60.0,1.3,1.027777777777778
Ryan Couture,11,5,0,177.8,70.31,185.42,Orthodox,3.54,45.0,2.87,54.0,1.55,29.0,46.0,1.3,1.0428571428571427
Bobby Southworth,10,6,0,187.96,92.99,192.34385185185187,Orthodox,0.99,39.0,1.38,65.0,3.98,78.0,64.0,1.3,1.0233233233233234
Nissen Osterneck,12,4,0,187.96,83.91,192.34385185185187,Orthodox,3.15,58.0,2.9,41.0,0.63,12.0,42.0,1.3,1.0233233233233234
Paddy Holohan,12,2,1,177.8,56.7,175.26,Orthodox,2.13,46.0,2.81,46.0,2.88,47.0,71.0,1.3,0.9857142857142857
Zelg Galesic,11,9,0,187.96,83.91,192.34385185185187,Orthodox,4.86,62.0,0.61,66.0,1.3,100.0,20.0,1.3,1.0233233233233234
Vinicius Moreira,9,5,0,193.04,92.99,193.04,Orthodox,3.15,59.0,5.07,43.0,1.97,18.0,0.0,1.3,1.0
Marcus Aurelio,22,10,0,177.8,70.31,187.96,Orthodox,1.42,33.0,2.27,59.0,1.69,27.0,27.0,1.3,1.0571428571428572
Clay Harvison,13,6,0,185.42,77.11,187.96,Orthodox,3.29,48.0,3.91,58.0,0.66,100.0,68.0,1.3,1.0136986301369864
Marcin Held,23,7,0,175.26,70.31,180.34,Orthodox,1.41,34.0,2.02,47.0,2.46,46.0,37.0,1.3,1.028985507246377
Edgar Chairez,10,5,0,170.18,56.7,180.34,Orthodox,2.6,48.0,4.26,41.0,0.0,0.0,45.0,1.3,1.0597014925373134
Adam Cella,6,8,0,187.96,77.11,192.34385185185187,Orthodox,1.91,42.0,2.61,51.0,3.92,75.0,50.0,1.3,1.0233233233233234
Shayna Baszler,15,11,0,170.18,61.23,174.71661691542292,Orthodox,2.49,30.0,6.36,51.0,0.67,18.0,44.0,1.3,1.026657755996139
Miesha Tate,20,9,0,167.64,61.23,165.1,Orthodox,2.62,45.0,2.98,51.0,2.02,31.0,55.0,1.3,0.9848484848484849
Thiago Moises,17,7,0,175.26,70.31,177.8,Orthodox,2.47,39.0,4.4,54.0,1.53,40.0,56.0,1.3,1.0144927536231885
Jason Miller,23,10,0,185.42,83.91,190.05953757225436,Orthodox,1.83,43.0,2.3,49.0,1.31,28.0,43.0,1.3,1.0250217752791198
Chad George,16,8,0,167.64,61.23,172.72,Southpaw,1.26,50.0,1.11,65.0,3.08,46.0,0.0,1.3,1.0303030303030303
Dong Sik Yoon,9,9,0,182.88,83.91,187.28926406926408,Orthodox,0.99,36.0,2.33,51.0,1.6,29.0,33.0,1.3,1.0241101491101492
Sam Hoger,10,4,0,187.96,92.99,192.34385185185187,Orthodox,1.07,25.0,2.25,57.0,1.12,38.0,29.0,1.3,1.0233233233233234
Everett Sims,4,1,0,195.58,117.93,195.58,Southpaw,0.81,66.0,2.19,30.0,0.0,0.0,42.0,1.2,1.0
Brian Ortega,15,3,0,172.72,65.77,175.26,Switch,4.19,38.0,6.66,49.0,0.95,23.0,56.0,1.2,1.0147058823529411
Ricardo Almeida,13,5,0,182.88,77.11,187.96,Orthodox,2.02,49.0,1.2,61.0,3.74,38.0,31.0,1.2,1.027777777777778
John Alessio,35,17,0,177.8,70.31,182.88,Orthodox,2.1,39.0,2.91,54.0,1.85,38.0,70.0,1.2,1.0285714285714285
Daiju Takase,12,15,2,182.88,77.11,187.28926406926408,Southpaw,0.49,30.0,1.64,47.0,0.84,17.0,21.0,1.2,1.0241101491101492
Fabricio Werdum,24,9,1,193.04,104.78,195.58,Orthodox,3.59,52.0,2.64,55.0,1.75,31.0,31.0,1.2,1.0131578947368423
Greg Nagy,1,3,0,185.42,95.25,190.05953757225436,Orthodox,0.41,50.0,2.69,37.0,0.0,0.0,0.0,1.2,1.0250217752791198
Billy Quarantillo,18,5,0,177.8,65.77,177.8,Orthodox,7.71,57.0,5.61,43.0,1.31,23.0,63.0,1.2,1.0
Denis Kang,35,16,2,180.34,83.91,195.58,Orthodox,2.27,35.0,1.65,67.0,2.51,65.0,38.0,1.2,1.0845070422535212
Rafael Dias,17,12,2,175.26,65.77,180.1527188940092,Orthodox,1.13,27.0,2.19,60.0,3.17,47.0,100.0,1.2,1.0279169171174782
Bobby Hoffman,36,10,1,187.96,111.13,192.34385185185187,Orthodox,2.02,70.0,1.32,19.0,1.17,50.0,0.0,1.2,1.0233233233233234
Luke Flores,9,2,0,182.88,70.31,185.42,Southpaw,1.56,44.0,1.88,60.0,0.0,0.0,40.0,1.2,1.0138888888888888
Alvin Robinson,15,9,0,175.26,70.31,172.72,Southpaw,1.57,50.0,1.29,51.0,1.24,50.0,25.0,1.2,0.9855072463768116
Michael McBride,8,3,0,185.42,70.31,190.05953757225436,Orthodox,4.08,48.0,5.85,40.0,1.85,42.0,30.0,1.2,1.0250217752791198
CB Dollaway,17,9,0,187.96,83.91,193.04,Orthodox,2.65,47.0,2.58,54.0,3.55,54.0,62.0,1.2,1.027027027027027
Jeremiah Wells,12,3,1,175.26,77.11,187.96,Switch,2.52,45.0,1.14,47.0,3.89,43.0,100.0,1.2,1.0724637681159421
Kevin Ferguson,5,2,0,187.96,106.59,195.58,Orthodox,2.3,50.0,3.41,38.0,3.1,72.0,36.0,1.2,1.0405405405405406
Joao Paulo Faria,1,1,0,175.26,70.31,180.1527188940092,Orthodox,6.69,64.0,2.09,85.0,1.25,50.0,0.0,1.2,1.0279169171174782
Paulo Thiago,18,9,0,180.34,77.11,187.96,Orthodox,1.71,39.0,1.99,63.0,1.42,31.0,63.0,1.2,1.0422535211267605
Elvis Sinosic,7,11,2,190.5,92.99,195.58,Orthodox,1.13,37.0,4.6,53.0,0.0,0.0,0.0,1.2,1.0266666666666668
Sean Brady,16,1,0,177.8,77.11,182.88,Orthodox,3.77,53.0,3.55,61.0,3.29,57.0,87.0,1.2,1.0285714285714285
Yuta Sasaki,21,6,2,177.8,56.7,180.34,Southpaw,2.16,41.0,2.5,50.0,3.03,43.0,41.0,1.2,1.0142857142857142
Ricardo Arona,14,5,0,180.34,92.99,184.94287292817683,Orthodox,1.66,48.0,1.15,57.0,2.41,48.0,58.0,1.2,1.0255233055793325
Vitor Ribeiro,20,5,0,172.72,69.85,177.244375,Orthodox,1.0,28.0,1.95,48.0,1.58,26.0,100.0,1.2,1.0261948529411764
Murilo Rua,20,13,1,180.34,83.91,184.94287292817683,Orthodox,2.48,45.0,1.85,53.0,1.97,45.0,37.0,1.2,1.0255233055793325
Yizha,24,4,0,170.18,65.77,180.34,Orthodox,2.74,42.0,2.15,51.0,4.83,34.0,61.0,1.2,1.0597014925373134
Leandro Issa,13,6,0,170.18,61.23,175.26,Orthodox,2.08,37.0,3.17,58.0,2.38,22.0,50.0,1.2,1.0298507462686566
Travis Wiuff,75,21,0,190.5,92.99,195.41873015873017,Orthodox,0.48,30.0,4.03,41.0,4.84,57.0,44.0,1.2,1.025820105820106
Jordan Johnson,10,0,0,187.96,92.99,200.66,Orthodox,3.45,47.0,2.64,53.0,3.25,42.0,100.0,1.2,1.0675675675675675
Tresean Gore,5,2,0,182.88,83.91,190.5,Switch,3.04,53.0,6.13,47.0,3.04,71.0,81.0,1.2,1.0416666666666667
Gilbert Smith,12,6,0,175.26,83.91,180.1527188940092,Southpaw,1.09,41.0,2.73,35.0,3.51,60.0,0.0,1.2,1.0279169171174782
Jake Shields,31,9,1,182.88,77.11,182.88,Orthodox,2.45,36.0,1.8,56.0,2.83,29.0,35.0,1.2,1.0
Naoya Ogawa,7,2,0,193.04,115.67,198.9791176470588,Orthodox,2.41,42.0,1.66,47.0,1.25,100.0,66.0,1.2,1.0307662538699691
Jeff Curran,36,18,1,167.64,61.23,175.26,Orthodox,1.54,31.0,2.48,60.0,0.35,12.0,35.0,1.2,1.0454545454545454
Gabriel Santos,10,2,0,175.26,65.77,177.8,Orthodox,4.46,55.0,6.03,44.0,4.34,46.0,66.0,1.2,1.0144927536231885
Donald Cerrone,36,17,0,185.42,70.31,185.42,Orthodox,4.41,46.0,4.48,53.0,1.16,33.0,73.0,1.2,1.0
Donnie Liles,17,7,0,175.26,77.11,180.1527188940092,Orthodox,2.25,41.0,1.75,65.0,2.5,28.0,0.0,1.2,1.0279169171174782
Jason Ireland,19,9,1,175.26,73.03,180.1527188940092,Southpaw,1.2,25.0,2.07,51.0,3.59,75.0,0.0,1.2,1.0279169171174782
Jalin Turner,14,7,0,190.5,70.31,195.58,Southpaw,6.02,48.0,4.63,41.0,0.88,55.0,75.0,1.2,1.0266666666666668
Yan Cabral,13,3,0,180.34,70.31,185.42,Orthodox,2.02,47.0,1.98,62.0,2.89,35.0,37.0,1.2,1.028169014084507
Jesse Forbes,15,5,0,187.96,83.91,190.5,Southpaw,2.11,24.0,4.06,53.0,1.79,75.0,66.0,1.2,1.0135135135135134
Jared Rollins,8,4,0,175.26,77.11,180.1527188940092,Orthodox,3.33,57.0,2.41,39.0,2.5,50.0,50.0,1.2,1.0279169171174782
Kamuela Kirk,12,6,0,177.8,70.31,190.5,Switch,3.22,50.0,5.87,40.0,1.5,26.0,47.0,1.2,1.0714285714285714
Brandon Halsey,9,3,0,182.88,83.91,187.28926406926408,Orthodox,1.74,47.0,0.87,65.0,4.98,53.0,100.0,1.2,1.0241101491101492
Murilo Bustamante,15,8,1,187.96,83.01,192.34385185185187,Orthodox,1.33,32.0,1.9,60.0,2.46,33.0,54.0,1.2,1.0233233233233234
Dustin Poirier,29,8,0,175.26,70.31,182.88,Southpaw,5.49,50.0,4.3,53.0,1.36,36.0,63.0,1.2,1.0434782608695652
Jordan Rinaldi,14,7,0,177.8,65.77,182.88,Orthodox,1.56,35.0,2.32,59.0,1.45,35.0,20.0,1.2,1.0285714285714285
Nik Lentz,30,12,2,172.72,65.77,172.72,Orthodox,3.44,47.0,3.25,50.0,3.3,32.0,43.0,1.2,1.0
Din Thomas,26,9,0,175.26,70.31,180.1527188940092,Orthodox,1.85,37.0,2.6,59.0,1.38,52.0,76.0,1.2,1.0279169171174782
Christian Wellisch,8,5,0,187.96,106.14,195.58,Orthodox,3.12,27.0,3.04,56.0,1.22,42.0,45.0,1.2,1.0405405405405406
Erin Blanchfield,12,1,0,162.56,56.7,167.64,Orthodox,5.58,52.0,3.32,62.0,2.86,36.0,83.0,1.2,1.03125
Luis Pena,9,3,0,190.5,70.31,190.5,Southpaw,3.66,46.0,3.12,51.0,1.17,33.0,48.0,1.2,1.0
JunYong Park,17,5,0,177.8,83.91,185.42,Orthodox,4.94,51.0,3.66,53.0,2.1,50.0,69.0,1.2,1.0428571428571427
Allen Crowder,10,4,0,190.5,111.13,193.04,Orthodox,2.95,51.0,2.95,56.0,1.85,33.0,100.0,1.2,1.0133333333333332
Matt Hughes,45,9,0,175.26,77.11,185.42,Switch,2.14,53.0,1.36,53.0,2.95,50.0,35.0,1.2,1.0579710144927537
Mike Guymon,15,6,1,182.88,77.11,187.96,Orthodox,2.75,65.0,0.79,66.0,1.87,37.0,54.0,1.2,1.027777777777778
Dylan Lockard,6,2,0,175.26,65.77,182.88,Orthodox,1.31,53.0,3.31,52.0,2.31,40.0,28.0,1.2,1.0434782608695652
Dan Christison,20,7,0,203.2,120.2,203.2,Orthodox,4.23,51.0,3.88,54.0,0.0,0.0,37.0,1.1,1.0
Darren Elkins,28,11,0,177.8,65.77,180.34,Orthodox,3.44,38.0,3.27,52.0,2.85,35.0,56.0,1.1,1.0142857142857142
Alvaro Herrera Mendoza,9,6,0,182.88,70.31,187.96,Orthodox,1.89,38.0,3.4,55.0,0.0,0.0,33.0,1.1,1.027777777777778
Justin Jaynes,16,8,0,170.18,65.77,172.72,Orthodox,3.34,44.0,5.33,62.0,0.75,40.0,20.0,1.1,1.0149253731343284
Steven Koslow,6,1,0,170.18,56.7,175.26,Switch,0.77,37.0,3.73,40.0,5.28,55.0,0.0,1.1,1.0298507462686566
Jordan Leavitt,11,3,0,175.26,70.31,180.34,Southpaw,2.55,61.0,1.84,57.0,2.19,25.0,30.0,1.1,1.028985507246377
Rubens Xavier,5,3,0,190.5,99.79,195.41873015873017,Orthodox,0.77,42.0,1.82,21.0,2.1,40.0,25.0,1.1,1.025820105820106
Mike Santiago,19,12,0,177.8,65.77,175.26,Orthodox,3.44,49.0,3.58,36.0,2.66,50.0,53.0,1.1,0.9857142857142857
James McSweeney,15,15,0,193.04,104.33,195.58,Switch,3.94,55.0,4.33,42.0,0.52,33.0,100.0,1.1,1.0131578947368423
Dricus Du Plessis,20,2,0,185.42,83.91,193.04,Switch,6.95,55.0,3.79,53.0,2.72,50.0,40.0,1.1,1.0410958904109588
Gabriel Gonzaga,17,11,0,187.96,109.77,193.04,Orthodox,2.12,45.0,2.94,57.0,2.8,39.0,66.0,1.1,1.027027027027027
John Maguire,24,9,0,175.26,70.31,175.26,Southpaw,1.41,41.0,2.44,65.0,2.8,46.0,77.0,1.1,1.0
Anthony Perosh,15,10,0,190.5,92.99,190.5,Orthodox,2.27,43.0,3.77,53.0,2.03,22.0,33.0,1.1,1.0
Dennis Bermudez,17,9,0,167.64,70.31,167.64,Orthodox,4.42,46.0,3.07,59.0,3.89,40.0,82.0,1.1,1.0
Cody Brundage,10,5,0,182.88,83.91,182.88,Orthodox,1.8,55.0,2.51,43.0,2.69,52.0,73.0,1.1,1.0
Rich Clementi,45,23,1,175.26,70.31,182.88,Southpaw,1.43,37.0,2.29,60.0,1.72,42.0,25.0,1.1,1.0434782608695652
Gabriel Benitez,23,11,0,172.72,70.31,180.34,Southpaw,4.79,41.0,4.05,65.0,0.27,50.0,58.0,1.1,1.0441176470588236
Daniel Straus,24,7,0,170.18,65.77,180.34,Orthodox,4.76,43.0,2.99,57.0,0.84,15.0,81.0,1.1,1.0597014925373134
Makwan Amirkhani,17,9,0,177.8,65.77,182.88,Southpaw,1.33,44.0,2.98,46.0,3.96,43.0,35.0,1.1,1.0285714285714285
Georges St-Pierre,26,2,0,180.34,83.91,193.04,Orthodox,3.78,53.0,1.4,72.0,4.16,74.0,83.0,1.1,1.0704225352112675
Goran Reljic,15,8,0,190.5,92.99,205.74,Southpaw,1.69,37.0,2.69,59.0,1.69,50.0,33.0,1.1,1.08
Pat Healy,34,23,0,182.88,70.31,182.88,Orthodox,2.57,36.0,2.57,50.0,3.08,37.0,55.0,1.1,1.0
Loopy Godinez,12,3,0,157.48,52.16,154.94,Orthodox,4.31,49.0,3.76,62.0,3.39,46.0,86.0,1.1,0.9838709677419355
Youssef Zalal,10,5,1,177.8,61.23,182.88,Switch,2.75,48.0,1.75,64.0,2.14,31.0,60.0,1.1,1.0285714285714285
John Moraga,19,7,0,167.64,56.7,167.64,Orthodox,2.57,43.0,2.55,56.0,0.62,23.0,44.0,1.1,1.0
Gesias Cavalcante,21,10,1,172.72,70.31,180.34,Orthodox,1.98,35.0,3.11,51.0,1.25,36.0,66.0,1.1,1.0441176470588236
Julius Anglickas,5,1,0,190.5,92.99,195.41873015873017,Orthodox,4.62,78.0,1.86,50.0,4.47,50.0,60.0,1.1,1.025820105820106
Tom Breese,12,3,0,190.5,83.91,185.42,Southpaw,3.34,50.0,2.81,60.0,0.0,0.0,70.0,1.1,0.9733333333333333
Makoto Takimoto,6,5,0,170.18,92.99,174.71661691542292,Southpaw,1.37,39.0,1.71,55.0,1.48,50.0,25.0,1.1,1.026657755996139
Nate Landwehr,17,5,0,175.26,65.77,182.88,Orthodox,6.14,46.0,5.58,55.0,1.07,41.0,86.0,1.1,1.0434782608695652
Frank Shamrock,23,10,2,177.8,83.91,182.0296035242291,Orthodox,4.75,53.0,4.66,57.0,0.35,50.0,37.0,1.1,1.0237885462555065
Gegard Mousasi,42,6,2,187.96,83.91,193.04,Orthodox,3.75,50.0,1.21,68.0,1.59,60.0,59.0,1.1,1.027027027027027
Semmy Schilt,26,14,1,208.28,120.2,182.88,Orthodox,1.2,50.0,1.31,53.0,0.0,0.0,47.0,1.1,0.8780487804878049
Joe Ellenberger,15,2,0,175.26,70.31,182.88,Orthodox,1.62,47.0,3.45,48.0,3.17,40.0,0.0,1.1,1.0434782608695652
Trenell Young,11,9,0,167.64,65.77,171.26154838709675,Orthodox,1.43,22.0,5.13,50.0,1.13,20.0,0.0,1.1,1.0216031280547408
Bea Malecki,4,1,0,175.26,61.23,187.96,Orthodox,6.84,46.0,6.96,62.0,0.0,0.0,78.0,1.1,1.0724637681159421
Louis Gaudinot,8,4,0,160.02,56.7,160.02,Orthodox,2.34,37.0,6.42,48.0,0.57,40.0,31.0,1.1,1.0
Ramsey Nijem,9,6,0,180.34,70.31,190.5,Orthodox,3.05,44.0,1.62,62.0,5.32,62.0,55.0,1.1,1.056338028169014
Claudio Silva,14,4,0,180.34,77.11,180.34,Southpaw,2.48,42.0,3.0,46.0,2.85,26.0,44.0,1.1,1.0
Marcos Galvao,18,8,1,170.18,61.23,174.71661691542292,Orthodox,1.97,32.0,3.86,61.0,2.27,28.0,88.0,1.1,1.026657755996139
Joey Villasenor,29,10,0,182.88,83.91,187.28926406926408,Orthodox,2.05,38.0,3.26,52.0,0.71,40.0,53.0,1.1,1.0241101491101492
Taila Santos,19,3,0,167.64,56.7,172.72,Orthodox,3.39,48.0,2.64,58.0,2.0,76.0,86.0,1.1,1.0303030303030303
Matt Schnell,16,7,0,172.72,56.7,177.8,Orthodox,4.24,39.0,4.46,55.0,0.63,44.0,46.0,1.1,1.0294117647058825
Anthony Pettis,24,10,0,177.8,70.31,182.88,Orthodox,3.05,47.0,3.44,54.0,0.61,50.0,60.0,1.1,1.0285714285714285
Darrill Schoonover,14,8,0,187.96,99.79,192.34385185185187,Orthodox,1.2,33.0,4.35,38.0,0.0,0.0,50.0,1.1,1.0233233233233234
Jeff Hougland,10,6,0,170.18,61.23,172.72,Orthodox,1.86,48.0,3.46,47.0,0.86,18.0,0.0,1.1,1.0149253731343284
Jeremy Horn,91,22,5,185.42,83.91,187.96,Orthodox,1.19,39.0,1.99,55.0,1.83,38.0,29.0,1.1,1.0136986301369864
Thales Leites,28,9,0,185.42,83.91,198.12,Orthodox,2.13,40.0,2.99,52.0,2.1,27.0,30.0,1.1,1.0684931506849316
Dean Lister,13,7,0,185.42,83.91,190.5,Orthodox,1.26,35.0,1.89,61.0,1.58,15.0,50.0,1.1,1.0273972602739727
Kurt Holobaugh,21,7,0,180.34,70.31,177.8,Orthodox,4.89,44.0,4.44,48.0,0.87,36.0,50.0,1.1,0.9859154929577465
Chris Wade,12,3,0,177.8,70.31,177.8,Orthodox,1.7,53.0,1.75,51.0,2.6,51.0,55.0,1.1,1.0
Dylan Potter,10,6,0,187.96,102.06,195.58,Switch,3.1,48.0,5.78,46.0,0.0,0.0,33.0,1.1,1.0405405405405406
Tatsuya Kawajiri,36,11,2,170.18,65.77,175.26,Orthodox,2.04,44.0,2.01,50.0,3.63,48.0,63.0,1.1,1.0298507462686566
Trevor Prangley,34,11,2,185.42,83.91,190.5,Orthodox,2.59,60.0,2.02,48.0,3.38,55.0,74.0,1.0,1.0273972602739727
Karolina Wojcik,9,2,0,157.48,52.16,159.45555555555555,Orthodox,2.67,65.0,0.87,62.0,2.0,66.0,100.0,1.0,1.0125448028673836
Pat Miletich,29,7,2,177.8,77.11,182.0296035242291,Orthodox,1.79,45.0,1.66,63.0,1.96,100.0,54.0,1.0,1.0237885462555065
Steve Erceg,11,1,0,172.72,56.7,172.72,Orthodox,4.27,48.0,3.57,49.0,2.0,33.0,77.0,1.0,1.0
Evan Dunham,18,9,1,177.8,70.31,177.8,Southpaw,5.33,39.0,3.54,61.0,1.82,33.0,79.0,1.0,1.0
Josh Stansbury,4,8,0,187.96,92.99,187.96,Orthodox,3.22,54.0,3.54,54.0,0.0,0.0,87.0,1.0,1.0
Ed Herman,27,16,0,185.42,92.99,195.58,Orthodox,3.31,48.0,3.71,42.0,1.96,47.0,59.0,1.0,1.0547945205479454
Ali AlQaisi,8,5,0,167.64,61.23,172.72,Orthodox,2.43,42.0,1.97,56.0,3.5,29.0,60.0,1.0,1.0303030303030303
Elaina Maxwell,7,4,0,172.72,65.77,177.244375,Orthodox,2.07,60.0,2.4,53.0,0.0,0.0,50.0,1.0,1.0261948529411764
Mando Gutierrez,7,2,0,167.64,61.23,177.8,Southpaw,0.8,75.0,1.33,50.0,1.0,100.0,40.0,1.0,1.0606060606060608
Claudia Leite,8,3,0,160.02,61.23,162.56,Orthodox,1.27,47.0,1.73,57.0,1.0,25.0,0.0,1.0,1.0158730158730158
Ray Borg,13,5,0,162.56,61.23,160.02,Orthodox,1.52,52.0,1.93,48.0,3.89,50.0,46.0,1.0,0.984375
Chad Hanekom,9,3,0,193.04,83.91,187.96,Orthodox,0.73,47.0,1.47,33.0,0.0,0.0,71.0,1.0,0.9736842105263158
Zach Skinner,10,11,0,167.64,65.77,171.26154838709675,Orthodox,0.53,50.0,2.4,32.0,5.0,27.0,100.0,1.0,1.0216031280547408
Jay Silva,10,11,1,187.96,83.91,192.34385185185187,Southpaw,1.13,34.0,3.07,40.0,0.0,0.0,38.0,1.0,1.0233233233233234
Tim Elliott,20,13,1,170.18,56.7,167.64,Southpaw,3.41,44.0,2.67,56.0,3.73,47.0,59.0,1.0,0.9850746268656715
Jason Guida,19,28,0,177.8,97.07,182.0296035242291,Orthodox,1.87,40.0,3.33,52.0,1.0,14.0,50.0,1.0,1.0237885462555065
Carlos Condit,32,14,0,187.96,77.11,190.5,Orthodox,3.66,39.0,2.67,55.0,0.59,46.0,38.0,1.0,1.0135135135135134
Gunnar Nelson,19,5,1,180.34,77.11,182.88,Switch,1.84,61.0,3.0,49.0,1.9,59.0,66.0,1.0,1.0140845070422535
Pingyuan Liu,13,7,0,167.64,61.23,182.88,Orthodox,2.36,33.0,2.99,54.0,0.25,20.0,56.0,1.0,1.090909090909091
Mohammad Yahya,12,4,0,175.26,70.31,185.42,Switch,2.87,46.0,4.07,37.0,1.0,100.0,42.0,1.0,1.0579710144927537
Yusup Saadulaev,16,4,1,167.64,61.23,171.26154838709675,Orthodox,0.57,45.0,0.96,66.0,5.73,60.0,0.0,1.0,1.0216031280547408
Enrique Marin,10,4,0,177.8,77.11,182.0296035242291,Orthodox,1.43,33.0,3.0,50.0,2.5,38.0,60.0,1.0,1.0237885462555065
Allan Zuniga,13,1,0,170.18,70.31,177.8,Orthodox,3.93,52.0,1.8,61.0,0.0,0.0,57.0,1.0,1.0447761194029852
Takeshi Yamazaki,15,12,3,172.72,63.05,177.244375,Southpaw,0.57,25.0,1.57,47.0,4.5,50.0,100.0,1.0,1.0261948529411764
Johnny Walker,21,7,0,198.12,92.99,208.28,Orthodox,3.87,56.0,2.64,45.0,0.5,100.0,57.0,1.0,1.0512820512820513
Nick Osipczak,6,3,0,187.96,77.11,193.04,Orthodox,2.83,50.0,3.77,50.0,1.2,45.0,71.0,1.0,1.027027027027027
Jonavin Webb,9,2,0,177.8,77.11,182.0296035242291,Orthodox,1.47,30.0,2.27,64.0,2.5,31.0,40.0,1.0,1.0237885462555065
Brian Schwartz,1,1,0,190.5,77.11,195.41873015873017,Orthodox,1.27,44.0,0.87,45.0,0.0,0.0,50.0,1.0,1.025820105820106
