name,wins,losses,draws,height_cm,weight_in_kg,reach_in_cm,stance,significant_strikes_landed_per_minute,significant_striking_accuracy,significant_strikes_absorbed_per_minute,significant_strike_defence,average_takedowns_landed_per_15_minutes,takedown_accuracy,takedown_defense,average_submissions_attempted_per_15_minutes,reach_to_height
Bobby McAndrews,1,3,0,180.7559581881533,77.11,182.88,Orthodox,2.56,83.0,1.03,50.0,0.0,0.0,33.0,7.7,1.0117508813160987
Ansar Chalangov,14,5,0,175.26,77.11,180.1527188940092,Orthodox,0.68,66.0,1.69,54.0,0.0,0.0,0.0,7.6,1.0279169171174782
Jeremiah Constant,11,8,0,185.42,108.86,190.05953757225436,Orthodox,1.5,75.0,3.25,43.0,0.0,0.0,0.0,7.5,1.0250217752791198
Paul Sass,14,2,0,182.88,70.31,185.42,Orthodox,0.53,26.0,1.9,51.0,0.53,16.0,33.0,7.4,1.0138888888888888
Eddy Millis,0,2,0,185.42,83.91,190.05953757225436,Orthodox,0.0,0.0,3.36,22.0,0.0,0.0,0.0,7.2,1.0250217752791198
James Lee,15,3,0,180.34,92.99,184.94287292817683,Southpaw,1.4,42.0,3.72,27.0,13.95,50.0,0.0,7.0,1.0255233055793325
Mikhail Iloukhine,30,11,1,175.26,92.99,180.1527188940092,Orthodox,0.16,20.0,2.95,26.0,0.0,0.0,0.0,7.0,1.0279169171174782
Kyle Jensen,4,11,2,175.26,77.11,180.1527188940092,Orthodox,0.0,0.0,0.92,60.0,6.92,100.0,0.0,6.9,1.0279169171174782
Ilya Kotau,1,2,0,180.7559581881533,77.11,182.88,Orthodox,3.94,40.0,4.38,44.0,6.57,100.0,100.0,6.6,1.0117508813160987
Trevor Harris,2,2,0,167.64,65.77,171.26154838709675,Orthodox,1.73,50.0,0.43,75.0,0.0,0.0,50.0,6.5,1.0216031280547408
Jinnosuke Kashimura,4,2,0,170.18,70.31,180.34,Southpaw,0.21,50.0,7.37,25.0,3.16,100.0,0.0,6.3,1.0597014925373134
Tom Erikson,9,4,1,190.5,127.01,195.41873015873017,Orthodox,0.94,47.0,1.87,25.0,4.68,60.0,100.0,6.2,1.025820105820106
Jason Black,23,4,1,172.72,70.31,177.244375,Orthodox,1.06,47.0,2.6,45.0,0.48,33.0,28.0,6.2,1.0261948529411764
Francisco France,13,5,1,182.88,92.99,187.28926406926408,Orthodox,0.54,33.0,3.51,27.0,0.0,0.0,0.0,6.1,1.0241101491101492
John Albert,6,5,0,172.72,61.23,172.72,Orthodox,3.05,49.0,2.82,35.0,0.0,0.0,50.0,6.1,1.0
Daniel Swain,20,10,1,175.26,65.77,177.8,Orthodox,0.8,44.0,3.2,40.0,0.0,0.0,0.0,6.0,1.0144927536231885
Neiman Gracie,6,0,0,182.88,77.11,187.28926406926408,Orthodox,0.77,100.0,0.38,75.0,5.77,100.0,0.0,5.8,1.0241101491101492
Shamil Gaziev,11,0,0,193.04,120.2,198.12,Orthodox,1.52,100.0,0.0,0.0,0.0,0.0,0.0,5.7,1.0263157894736843
Masakatsu Funaki,39,13,2,182.88,83.91,187.28926406926408,Southpaw,1.82,68.0,2.92,35.0,0.0,0.0,0.0,5.5,1.0241101491101492
David Terrell,6,2,0,185.42,83.91,190.05953757225436,Southpaw,2.34,63.0,2.71,37.0,5.54,50.0,0.0,5.5,1.0250217752791198
Rob MacDonald,5,4,0,190.5,92.99,198.12,Orthodox,1.8,50.0,2.04,46.0,7.19,80.0,80.0,5.4,1.04
Nick Barnes,11,2,0,180.34,77.11,184.94287292817683,Orthodox,2.86,29.0,8.93,51.0,5.36,100.0,100.0,5.4,1.0255233055793325
Matt Arroyo,3,3,0,177.8,77.11,182.88,Orthodox,1.62,47.0,2.01,58.0,2.12,36.0,100.0,5.3,1.0285714285714285
Diego Lopes,23,6,0,180.34,65.77,182.88,Orthodox,2.47,53.0,4.91,37.0,0.0,0.0,42.0,5.3,1.0140845070422535
Colin Robinson,10,12,0,193.04,110.22,198.9791176470588,Orthodox,6.19,69.0,7.91,37.0,2.58,100.0,50.0,5.2,1.0307662538699691
Nick Garcia,8,3,0,162.56,56.7,165.6953125,Orthodox,0.67,25.0,3.03,50.0,0.0,0.0,83.0,5.1,1.019287109375
Justin Levens,10,7,0,180.34,83.91,184.94287292817683,Orthodox,1.24,47.0,3.15,37.0,1.69,50.0,33.0,5.1,1.0255233055793325
Mike Ciesnolevicz,19,4,0,182.88,106.59,187.28926406926408,Orthodox,0.51,50.0,4.62,57.0,0.0,0.0,20.0,5.1,1.0241101491101492
Magno Almeida,10,3,0,182.88,70.31,187.28926406926408,Orthodox,1.67,36.0,2.6,41.0,0.0,0.0,40.0,5.0,1.0241101491101492
George Pacurariu,10,5,0,170.18,61.23,174.71661691542292,Orthodox,4.69,53.0,2.68,63.0,5.03,100.0,100.0,5.0,1.026657755996139
Ronaldo Candido,6,0,0,167.64,56.7,171.26154838709675,Southpaw,1.67,42.0,3.87,52.0,8.0,53.0,0.0,5.0,1.0216031280547408
Alex Schoenauer,15,10,0,190.5,83.91,195.41873015873017,Orthodox,1.22,40.0,2.27,42.0,0.0,0.0,22.0,4.9,1.025820105820106
Justin Guthrie,18,9,0,185.42,77.11,190.05953757225436,Orthodox,0.16,33.0,3.74,14.0,2.44,25.0,0.0,4.9,1.0250217752791198
Billy Pasulatan,10,3,0,165.1,56.7,167.64,Switch,0.65,20.0,5.22,48.0,0.0,0.0,0.0,4.9,1.0153846153846153
Aaron Ely,5,2,0,172.72,61.23,177.244375,Orthodox,0.82,15.0,0.66,69.0,2.47,100.0,50.0,4.9,1.0261948529411764
Shohei Nose,10,4,2,167.64,61.23,172.72,Switch,2.48,40.0,3.61,53.0,3.23,17.0,0.0,4.8,1.0303030303030303
TJ Waldburger,16,9,0,180.34,77.11,190.5,Orthodox,2.02,51.0,2.39,40.0,3.03,46.0,40.0,4.8,1.056338028169014
Ronda Rousey,12,2,0,170.18,61.23,167.64,Orthodox,4.17,52.0,4.14,44.0,6.26,68.0,50.0,4.8,0.9850746268656715
Nik Theotikos,6,2,0,183.6809503239741,83.91,182.88,Orthodox,0.0,0.0,5.48,19.0,0.0,0.0,0.0,4.8,0.9956394480616451
Valentijn Overeem,30,32,0,190.5,104.33,195.41873015873017,Orthodox,0.93,34.0,1.49,58.0,1.86,50.0,0.0,4.7,1.025820105820106
Keith Rockel,12,4,1,182.88,83.91,187.28926406926408,Orthodox,1.13,73.0,0.21,66.0,4.63,75.0,100.0,4.6,1.0241101491101492
Mark Hughes,6,2,0,175.26,92.99,180.1527188940092,Southpaw,0.9,47.0,0.4,42.0,3.0,50.0,0.0,4.5,1.0279169171174782
Jimmy Flick,16,7,0,170.18,56.7,172.72,Orthodox,1.99,50.0,5.05,38.0,1.66,27.0,0.0,4.4,1.0149253731343284
Kaline Medeiros,8,5,0,160.02,52.16,161.82622222222224,Orthodox,2.06,70.0,0.29,83.0,4.41,100.0,0.0,4.4,1.0112874779541448
Takeru Uchida,6,1,0,165.1,56.7,172.72,Southpaw,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.4,1.0461538461538462
Joe Pearson,45,30,1,177.8,65.77,182.0296035242291,Orthodox,0.59,18.0,3.51,33.0,0.0,0.0,0.0,4.4,1.0237885462555065
Jordan Bailey,6,3,0,175.26,65.77,180.1527188940092,Orthodox,1.74,40.0,0.29,0.0,4.35,100.0,0.0,4.3,1.0279169171174782
Branden Lee Hinkle,17,11,0,190.5,106.59,195.41873015873017,Orthodox,2.61,69.0,3.91,26.0,4.34,57.0,66.0,4.3,1.025820105820106
Goiti Yamauchi,21,3,0,177.8,65.77,182.0296035242291,Orthodox,1.66,54.0,1.01,66.0,0.0,0.0,0.0,4.3,1.0237885462555065
Masakatsu Okuda,8,5,0,180.7559581881533,77.11,182.88,Orthodox,0.0,0.0,4.27,34.0,0.0,0.0,0.0,4.3,1.0117508813160987
Wayne Cole,16,25,0,185.42,92.99,190.05953757225436,Orthodox,0.57,20.0,8.33,27.0,4.31,25.0,0.0,4.3,1.0250217752791198
Jason Glaza,3,2,0,182.88,104.33,187.28926406926408,Orthodox,4.34,54.0,0.43,40.0,4.34,100.0,0.0,4.3,1.0241101491101492
Bret Bergmark,6,1,1,175.26,77.11,180.1527188940092,Orthodox,2.78,52.0,2.78,37.0,4.17,100.0,50.0,4.2,1.0279169171174782
Genki Sudo,15,4,2,175.26,70.31,180.1527188940092,Orthodox,1.55,39.0,2.23,33.0,3.58,60.0,50.0,4.2,1.0279169171174782
Yasuhito Namekawa,25,16,4,175.26,92.99,180.1527188940092,Orthodox,0.14,50.0,3.65,38.0,2.11,25.0,0.0,4.2,1.0279169171174782
Sean McCorkle,17,7,0,200.66,120.2,205.74,Orthodox,0.85,44.0,2.48,52.0,2.12,40.0,33.0,4.2,1.0253164556962027
Jeremy Lang,21,2,0,180.34,92.99,184.94287292817683,Southpaw,1.13,50.0,1.41,42.0,4.22,60.0,0.0,4.2,1.0255233055793325
Rene Kronvold,5,1,0,172.72,77.11,177.244375,Orthodox,0.82,100.0,2.47,60.0,0.0,0.0,66.0,4.1,1.0261948529411764
Victor Hugo,24,4,0,170.18,61.23,180.34,Orthodox,1.24,34.0,1.1,65.0,2.06,50.0,66.0,4.1,1.0597014925373134
Kain Royer,2,2,0,183.6809503239741,83.91,182.88,Orthodox,0.0,0.0,1.63,14.0,0.0,0.0,0.0,4.1,0.9956394480616451
Rousimar Palhares,19,8,0,172.72,77.11,180.34,Orthodox,1.75,51.0,2.04,59.0,3.93,45.0,0.0,4.1,1.0441176470588236
Clay Mitchell,1,2,0,187.96,83.91,192.34385185185187,Orthodox,1.63,85.0,0.0,0.0,0.0,0.0,100.0,4.1,1.0233233233233234
Karine Silva,17,4,0,165.1,56.7,170.18,Orthodox,3.37,35.0,3.37,50.0,2.45,60.0,0.0,4.1,1.0307692307692309
Dustin Hazelett,12,7,0,185.42,77.11,193.04,Orthodox,2.24,40.0,3.51,46.0,0.55,50.0,25.0,4.1,1.0410958904109588
